age,age_range,gender,income,became_member_on,days_as_member,total_completed,total_viewed,total_received,percent_completed,total_spent,avg_spent,num_transactions,completed_bogo,num_bogos,bogo_percent_completed,completed_discount,num_discounts,discount_percent_completed,cluster
55,50-59,F,112000.0,2017-07-15,382,1,0,2,0.0,77.01,25.67,3,1,2,0.5,0,0,0.0,3
75,70-79,F,100000.0,2017-05-09,449,3,4,4,0.75,159.27,22.752857142857145,7,3,9,0.3333333333333333,0,0,0.0,0
68,60-69,M,70000.0,2018-04-26,97,2,3,4,0.5,57.73,19.243333333333336,3,1,3,0.3333333333333333,2,5,0.4,1
65,60-69,M,53000.0,2018-02-09,173,5,6,6,0.8333333333333334,36.43,12.143333333333333,3,2,11,0.1818181818181818,2,6,0.3333333333333333,0
58,50-59,M,51000.0,2017-11-11,263,1,2,3,0.3333333333333333,15.62,3.905,4,0,0,0.1818181818181818,2,5,0.4,2
61,60-69,F,57000.0,2017-09-11,324,3,5,5,0.6,85.55,14.258333333333333,6,3,9,0.3333333333333333,1,2,0.5,0
26,20-29,M,46000.0,2014-02-13,1630,1,1,6,0.1666666666666666,56.22,5.11090909090909,11,1,2,0.5,2,6,0.3333333333333333,1
62,60-69,F,71000.0,2016-02-11,902,4,5,6,0.6666666666666666,160.25,20.03125,8,0,0,0.5,3,15,0.2,0
49,40-49,M,52000.0,2014-11-13,1357,1,2,3,0.3333333333333333,144.11000000000004,16.012222222222228,9,1,3,0.3333333333333333,1,1,1.0,1
57,50-59,M,42000.0,2017-12-31,213,2,1,5,0.4,19.1,3.1833333333333336,6,1,3,0.3333333333333333,2,4,0.5,0
61,60-69,F,40000.0,2018-05-01,92,0,2,3,0.0,20.78,2.968571428571429,7,2,3,0.6666666666666666,0,0,0.0,3
40,40-49,F,71000.0,2016-05-04,819,5,4,5,1.0,300.68,18.7925,16,0,0,0.6666666666666666,3,14,0.2142857142857142,0
64,60-69,M,100000.0,2017-09-09,326,3,4,5,0.6,211.29,30.18428571428572,7,1,5,0.2,1,5,0.2,0
78,70-79,F,71000.0,2017-06-16,411,1,6,6,0.1666666666666666,155.45999999999998,19.4325,8,1,2,0.5,1,3,0.3333333333333333,0
42,40-49,M,69000.0,2013-08-11,1816,3,4,4,0.75,91.4,18.28,5,1,3,0.3333333333333333,1,6,0.1666666666666666,0
56,50-59,F,88000.0,2018-04-28,95,4,6,6,0.6666666666666666,75.62,25.206666666666667,3,2,7,0.2857142857142857,2,9,0.2222222222222222,0
33,30-39,F,52000.0,2017-09-26,309,1,3,6,0.1666666666666666,17.9,1.9888888888888887,9,1,1,1.0,4,9,0.4444444444444444,2
46,40-49,F,59000.0,2017-09-11,324,0,1,4,0.0,2.88,2.88,1,1,2,0.5,1,2,0.5,2
59,50-59,M,41000.0,2015-01-21,1288,2,5,6,0.3333333333333333,52.08,4.006153846153846,13,1,3,0.3333333333333333,2,6,0.3333333333333333,1
67,60-69,M,96000.0,2014-08-23,1439,4,3,4,1.0,206.88,25.86,8,2,5,0.4,1,6,0.1666666666666666,0
53,50-59,O,52000.0,2017-09-16,319,1,3,5,0.2,18.74,3.748,5,2,5,0.4,1,2,0.5,0
22,20-29,M,70000.0,2017-09-25,310,4,6,6,0.6666666666666666,106.38,17.73,6,2,8,0.25,2,6,0.3333333333333333,0
96,80+,F,89000.0,2017-11-17,257,4,2,5,0.8,81.92,20.48,4,2,5,0.4,2,4,0.5,0
40,40-49,M,33000.0,2016-07-09,753,1,4,6,0.1666666666666666,40.94,2.924285714285714,14,3,9,0.3333333333333333,0,0,0.0,3
69,60-69,F,57000.0,2016-08-14,717,4,6,6,0.6666666666666666,213.49,15.249285714285715,14,3,12,0.25,0,0,0.0,0
56,50-59,M,68000.0,2014-05-11,1543,2,2,3,0.6666666666666666,167.67000000000002,18.630000000000003,9,0,0,0.25,2,6,0.3333333333333333,0
26,20-29,F,63000.0,2017-08-12,354,2,3,3,0.6666666666666666,73.38000000000001,3.4942857142857147,21,0,0,0.25,2,6,0.3333333333333333,0
75,70-79,M,40000.0,2015-11-12,993,4,3,4,1.0,155.53,15.553,10,1,3,0.3333333333333333,2,8,0.25,0
20,20-29,F,30000.0,2016-07-11,751,0,1,2,0.0,29.89,2.989,10,1,2,0.5,1,1,1.0,2
45,40-49,M,33000.0,2018-07-07,25,3,5,5,0.6,61.25,7.65625,8,2,8,0.25,1,3,0.3333333333333333,0
61,60-69,M,98000.0,2017-11-21,253,4,4,5,0.8,234.42999999999995,29.30375,8,3,8,0.375,2,5,0.4,0
69,60-69,F,37000.0,2013-09-18,1778,1,3,5,0.2,32.72,2.7266666666666666,12,2,5,0.4,2,4,0.5,1
54,50-59,F,80000.0,2017-02-07,540,3,5,6,0.5,249.4,27.711111111111112,9,3,7,0.4285714285714285,1,3,0.3333333333333333,0
39,30-39,M,51000.0,2014-05-27,1527,1,3,5,0.2,51.91000000000001,3.707857142857144,14,2,5,0.4,1,1,1.0,1
41,40-49,F,41000.0,2015-09-21,1045,3,2,4,0.75,62.51,3.472777777777777,18,2,4,0.5,2,5,0.4,0
79,70-79,F,48000.0,2015-04-15,1204,2,2,4,0.5,152.0,10.133333333333333,15,2,5,0.4,1,3,0.3333333333333333,0
66,60-69,F,38000.0,2018-04-08,115,1,4,4,0.25,56.08,11.216,5,3,7,0.4285714285714285,0,0,0.0,3
56,50-59,F,52000.0,2017-06-26,401,3,1,3,1.0,87.10999999999999,12.444285714285712,7,0,0,0.4285714285714285,2,7,0.2857142857142857,0
39,30-39,F,56000.0,2014-07-23,1470,3,3,5,0.6,150.23000000000002,11.556153846153848,13,1,4,0.25,2,5,0.4,0
42,40-49,M,96000.0,2016-01-17,927,4,4,4,1.0,320.48,26.706666666666667,12,1,3,0.3333333333333333,3,9,0.3333333333333333,0
78,70-79,F,93000.0,2016-10-09,661,5,5,5,1.0,225.55,28.19375,8,3,9,0.3333333333333333,2,6,0.3333333333333333,0
45,40-49,M,48000.0,2017-10-06,299,0,2,4,0.0,17.0,2.833333333333333,6,1,2,0.5,2,3,0.6666666666666666,2
29,20-29,M,50000.0,2016-04-30,823,1,2,4,0.25,38.17,3.1808333333333327,12,0,0,0.5,3,5,0.6,1
44,40-49,M,35000.0,2017-09-24,311,4,4,4,1.0,150.23,8.34611111111111,18,1,3,0.3333333333333333,2,9,0.2222222222222222,0
63,60-69,M,56000.0,2018-07-13,19,3,3,3,1.0,121.62,13.513333333333332,9,1,3,0.3333333333333333,2,6,0.3333333333333333,0
36,30-39,M,56000.0,2017-12-28,216,2,2,3,0.6666666666666666,118.85,16.97857142857143,7,0,0,0.3333333333333333,2,5,0.4,0
76,70-79,F,47000.0,2018-03-14,140,1,3,5,0.2,22.65,3.775,6,1,4,0.25,2,4,0.5,2
68,60-69,M,87000.0,2017-08-23,343,5,5,5,1.0,177.18,22.1475,8,2,9,0.2222222222222222,2,6,0.3333333333333333,0
75,70-79,M,52000.0,2015-11-29,976,2,3,3,0.6666666666666666,135.54000000000002,12.321818181818184,11,1,3,0.3333333333333333,1,3,0.3333333333333333,1
67,60-69,M,76000.0,2017-02-26,521,4,5,5,0.8,200.78,16.731666666666666,12,1,3,0.3333333333333333,2,9,0.2222222222222222,0
77,70-79,M,51000.0,2016-07-30,732,0,4,5,0.0,23.81,2.1645454545454546,11,2,4,0.5,1,1,1.0,1
76,70-79,M,64000.0,2014-08-31,1431,1,2,3,0.3333333333333333,110.92,13.865,8,1,1,1.0,1,3,0.3333333333333333,2
57,50-59,M,98000.0,2018-02-07,175,2,0,3,0.0,27.24,27.24,1,2,3,0.6666666666666666,1,2,0.5,2
53,50-59,F,72000.0,2016-07-06,756,5,4,6,0.8333333333333334,167.88,18.65333333333333,9,2,6,0.3333333333333333,2,7,0.2857142857142857,0
53,50-59,F,117000.0,2016-12-31,578,5,4,5,1.0,303.20000000000005,30.320000000000004,10,3,12,0.25,1,2,0.5,0
53,50-59,F,55000.0,2017-10-26,279,1,3,5,0.2,20.18,2.5225,8,1,4,0.25,3,5,0.6,2
61,60-69,F,112000.0,2017-11-10,264,2,5,5,0.4,67.25,33.625,2,0,0,0.25,3,10,0.3,0
67,60-69,F,77000.0,2016-09-10,690,1,3,3,0.3333333333333333,155.73000000000002,19.46625,8,1,2,0.5,1,3,0.3333333333333333,0
58,50-59,F,85000.0,2018-01-25,188,4,4,4,1.0,290.42,19.36133333333333,15,1,3,0.3333333333333333,2,9,0.2222222222222222,0
46,40-49,F,36000.0,2018-06-29,33,0,3,5,0.0,17.130000000000003,3.4260000000000006,5,0,0,0.3333333333333333,2,6,0.3333333333333333,2
30,30-39,M,41000.0,2017-12-02,242,0,2,2,0.0,11.95,2.9875,4,1,2,0.5,0,0,0.0,3
59,50-59,M,89000.0,2017-08-20,346,2,4,6,0.3333333333333333,45.400000000000006,22.700000000000003,2,1,4,0.25,2,6,0.3333333333333333,1
51,50-59,M,41000.0,2015-12-31,944,3,4,6,0.5,75.96000000000001,3.798000000000001,20,2,4,0.5,2,9,0.2222222222222222,1
27,20-29,M,35000.0,2018-01-10,203,1,4,5,0.2,29.56,2.4633333333333334,12,1,2,0.5,2,4,0.5,2
40,40-49,M,53000.0,2018-02-27,155,0,3,4,0.0,8.17,1.634,5,1,4,0.25,0,0,0.0,3
73,70-79,F,91000.0,2018-04-19,104,3,5,5,0.6,109.16,27.290000000000003,4,2,6,0.3333333333333333,2,5,0.4,0
74,70-79,F,107000.0,2015-12-24,951,4,4,5,0.8,298.3,29.83,10,0,0,0.3333333333333333,2,12,0.1666666666666666,0
42,40-49,M,66000.0,2015-11-21,984,2,2,3,0.6666666666666666,136.94,19.562857142857144,7,0,0,0.3333333333333333,2,5,0.4,1
78,70-79,M,58000.0,2015-11-11,994,3,6,6,0.5,126.93999999999998,12.694,10,1,9,0.1111111111111111,0,0,0.0,3
54,50-59,F,53000.0,2016-12-25,584,2,5,6,0.3333333333333333,57.03,3.168333333333333,18,2,7,0.2857142857142857,1,6,0.1666666666666666,0
70,70-79,F,74000.0,2018-06-13,49,0,3,3,0.0,0.0,,0,1,4,0.25,1,2,0.5,2
49,40-49,F,57000.0,2017-04-08,480,3,5,5,0.6,184.78000000000003,18.478,10,2,6,0.3333333333333333,1,3,0.3333333333333333,0
62,60-69,F,57000.0,2018-04-10,113,0,2,3,0.0,0.0,,0,1,2,0.5,2,3,0.6666666666666666,2
64,60-69,M,70000.0,2017-03-05,514,4,4,4,1.0,140.34,15.593333333333334,9,1,3,0.3333333333333333,3,9,0.3333333333333333,0
89,80+,F,87000.0,2017-11-14,260,4,3,4,1.0,248.63,27.62555555555555,9,0,0,0.3333333333333333,3,11,0.2727272727272727,0
73,70-79,M,51000.0,2018-04-01,122,1,4,5,0.2,23.43,2.603333333333333,9,1,2,0.5,2,4,0.5,2
50,50-59,F,93000.0,2017-05-06,452,4,5,5,0.8,297.29,24.77416666666667,12,1,3,0.3333333333333333,2,9,0.2222222222222222,0
90,80+,F,98000.0,2015-12-10,965,1,1,4,0.25,80.03,26.676666666666662,3,1,4,0.25,1,1,1.0,2
68,60-69,F,84000.0,2016-07-31,731,1,0,5,0.0,34.04,17.02,2,1,1,1.0,2,4,0.5,2
60,60-69,M,64000.0,2017-02-06,541,1,2,3,0.3333333333333333,44.13999999999999,3.678333333333333,12,2,5,0.4,0,0,0.0,3
45,40-49,M,54000.0,2017-08-15,351,0,3,5,0.0,11.51,1.9183333333333328,6,2,4,0.5,2,3,0.6666666666666666,2
66,60-69,M,49000.0,2016-01-24,920,5,5,6,0.8333333333333334,200.93,11.162777777777778,18,2,6,0.3333333333333333,2,8,0.25,0
19,11-19,F,73000.0,2016-10-15,655,3,3,5,0.6,202.75,18.431818181818183,11,1,3,0.3333333333333333,2,7,0.2857142857142857,0
66,60-69,F,58000.0,2018-02-16,166,3,4,5,0.6,163.53000000000003,16.353,10,2,6,0.3333333333333333,1,3,0.3333333333333333,0
72,70-79,F,72000.0,2016-08-11,720,6,5,6,1.0,201.92,16.826666666666668,12,3,11,0.2727272727272727,2,6,0.3333333333333333,0
76,70-79,M,63000.0,2016-04-07,846,4,5,5,0.8,224.76,17.28923076923077,13,1,3,0.3333333333333333,2,9,0.2222222222222222,0
52,50-59,M,78000.0,2017-05-15,443,5,3,5,1.0,117.92,19.65333333333333,6,2,8,0.25,1,5,0.2,0
55,50-59,M,31000.0,2017-12-10,234,1,2,4,0.25,30.73,6.145999999999999,5,3,6,0.5,0,0,0.0,3
39,30-39,F,60000.0,2017-09-19,316,3,4,4,0.75,705.5,58.79166666666666,12,2,6,0.3333333333333333,1,3,0.3333333333333333,0
45,40-49,F,44000.0,2016-01-26,918,5,2,6,0.8333333333333334,163.70999999999998,10.231875,16,2,8,0.25,2,5,0.4,0
57,50-59,F,114000.0,2017-07-04,393,5,5,6,0.8333333333333334,184.82,23.1025,8,3,12,0.25,1,3,0.3333333333333333,0
74,70-79,M,48000.0,2018-07-12,20,0,1,3,0.0,6.86,2.286666666666666,3,1,2,0.5,1,2,0.5,2
18,11-19,M,47000.0,2016-07-27,735,5,4,6,0.8333333333333334,275.61,12.527727272727274,22,2,4,0.5,3,11,0.2727272727272727,0
53,50-59,M,96000.0,2017-09-27,308,4,5,5,0.8,138.84,27.768,5,2,5,0.4,2,9,0.2222222222222222,0
59,50-59,F,98000.0,2017-09-10,325,3,1,3,1.0,112.04,28.01,4,0,0,0.4,1,7,0.1428571428571428,0
57,50-59,M,46000.0,2014-11-04,1366,1,3,4,0.25,34.22,3.422,10,1,2,0.5,1,2,0.5,1
51,50-59,F,56000.0,2017-08-13,353,2,4,5,0.4,40.94,5.848571428571428,7,1,2,0.5,1,5,0.2,0
64,60-69,F,37000.0,2017-10-20,285,3,5,5,0.6,51.37000000000001,7.33857142857143,7,4,10,0.4,1,3,0.3333333333333333,0
71,70-79,M,57000.0,2017-01-29,549,0,3,4,0.0,30.14,2.5116666666666667,12,1,4,0.25,1,1,1.0,2
64,60-69,F,66000.0,2017-04-21,467,2,4,4,0.5,50.35,12.5875,4,2,5,0.4,1,3,0.3333333333333333,0
83,80+,M,46000.0,2018-01-27,186,0,5,5,0.0,16.77,3.354,5,2,6,0.3333333333333333,1,2,0.5,2
26,20-29,M,71000.0,2017-12-11,233,0,3,5,0.0,13.8,3.45,4,2,3,0.6666666666666666,2,3,0.6666666666666666,2
29,20-29,F,58000.0,2018-03-21,133,1,5,5,0.2,30.48,2.54,12,1,2,0.5,2,7,0.2857142857142857,2
43,40-49,M,70000.0,2017-09-15,320,0,3,4,0.0,2.03,2.03,1,2,4,0.5,2,3,0.6666666666666666,2
89,80+,F,65000.0,2018-01-14,199,3,4,4,0.75,124.82,17.83142857142857,7,1,3,0.3333333333333333,2,6,0.3333333333333333,0
49,40-49,F,79000.0,2018-05-18,75,2,5,5,0.4,24.93,12.465,2,2,5,0.4,2,5,0.4,0
79,70-79,M,67000.0,2016-06-27,765,3,3,4,0.75,317.03000000000003,17.61277777777778,18,2,9,0.2222222222222222,0,0,0.0,0
55,50-59,F,94000.0,2017-10-16,289,3,5,5,0.6,195.35,24.418750000000003,8,1,3,0.3333333333333333,2,6,0.3333333333333333,0
55,50-59,M,66000.0,2017-12-03,241,2,3,5,0.4,272.23,14.327894736842106,19,1,6,0.1666666666666666,0,0,0.0,3
45,40-49,M,31000.0,2017-10-07,298,0,3,4,0.0,16.459999999999997,3.292,5,2,4,0.5,1,1,1.0,2
52,50-59,M,30000.0,2018-01-30,183,0,2,4,0.0,9.8,1.96,5,1,4,0.25,1,1,1.0,2
39,30-39,M,55000.0,2016-04-04,849,4,3,4,1.0,156.54,17.39333333333333,9,3,11,0.2727272727272727,0,0,0.0,0
77,70-79,M,69000.0,2018-07-02,30,1,2,4,0.25,60.25,20.08333333333333,3,1,2,0.5,1,2,0.5,1
66,60-69,M,60000.0,2018-07-09,23,2,3,5,0.4,30.9,5.15,6,2,4,0.5,2,4,0.5,1
69,60-69,F,87000.0,2017-09-27,308,2,4,4,0.5,53.21,26.605,2,2,8,0.25,1,2,0.5,0
74,70-79,M,53000.0,2014-08-20,1442,1,2,2,0.5,55.13,13.7825,4,1,2,0.5,1,3,0.3333333333333333,1
75,70-79,F,87000.0,2018-07-12,20,4,5,5,0.8,114.70000000000002,22.940000000000005,5,1,2,0.5,4,12,0.3333333333333333,0
59,50-59,F,85000.0,2015-09-09,1057,4,5,6,0.6666666666666666,193.1,27.58571428571429,7,1,3,0.3333333333333333,3,10,0.3,0
47,40-49,M,66000.0,2013-12-30,1675,2,3,3,0.6666666666666666,74.17,14.834,5,1,3,0.3333333333333333,1,3,0.3333333333333333,1
20,20-29,M,69000.0,2018-05-28,65,0,2,4,0.0,0.87,0.87,1,2,3,0.6666666666666666,2,3,0.6666666666666666,2
60,60-69,M,108000.0,2017-04-26,462,2,4,4,0.5,127.28,31.82,4,1,3,0.3333333333333333,2,5,0.4,1
65,60-69,M,61000.0,2018-03-15,139,3,2,5,0.6,24.0,4.0,6,0,0,0.3333333333333333,2,8,0.25,1
33,30-39,M,43000.0,2015-04-21,1198,1,1,4,0.25,19.78,2.4725,8,0,0,0.3333333333333333,3,6,0.5,1
39,30-39,F,67000.0,2017-12-17,227,1,5,5,0.2,562.7699999999999,51.16090909090908,11,0,0,0.3333333333333333,1,3,0.3333333333333333,0
49,40-49,M,59000.0,2018-06-02,60,1,2,3,0.3333333333333333,38.260000000000005,6.376666666666668,6,1,3,0.3333333333333333,1,2,0.5,2
68,60-69,M,58000.0,2018-02-07,175,0,5,5,0.0,17.19,8.595,2,1,2,0.5,3,6,0.5,2
42,40-49,M,80000.0,2017-02-09,538,1,3,3,0.3333333333333333,53.74000000000001,17.913333333333338,3,1,3,0.3333333333333333,0,0,0.0,3
72,70-79,M,33000.0,2018-06-01,61,0,3,6,0.0,8.14,1.628,5,3,5,0.6,3,4,0.75,2
18,11-19,F,49000.0,2017-05-24,434,2,3,5,0.4,30.47,3.047,10,1,2,0.5,3,8,0.375,0
32,30-39,F,42000.0,2018-06-28,34,2,1,2,1.0,71.19,10.17,7,2,5,0.4,0,0,0.0,0
